target_id	day0_1_count	day0_1_tpm	day0_2_count	day0_2_tpm	day0_3_count	day0_3_tpm	day1_1_count	day1_1_tpm	day1_2_count	day1_2_tpm	day1_3_count	day1_3_tpm	day2_1_count	day2_1_tpm	day2_2_count	day2_2_tpm	day2_3_count	day2_3_tpm
FBtr0077235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0077234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0331813	43.8767	0.113702	68.6618	0.156007	79.9035	0.191273	32.3884	0.0583194	12.5599	0.0217699	21.2933	0.033939	19.3481	0.0337027	23.8929	0.0349376	25.8132	0.0370124
FBtr0077236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0310652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0310653	25.2131	0.0340415	25.5179	0.0302081	0	0	0	0	0	0	2.35E-05	1.95E-08	0	0	0	0	0	0
FBtr0346474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080896	4.69631	0.00205152	5.93366	0.00227268	27.2731	0.0110055	0.10121	3.07E-05	5.8661	0.00171398	2.66092	0.000714949	5.38419	0.00158101	0.000131594	3.24E-08	153.252	0.0370422
FBtr0080907	477.397	0.193534	823.706	0.292783	1011.63	0.378836	782.845	0.220517	450.198	0.122072	577.34	0.143956	403.487	0.109951	401.844	0.0919231	549.532	0.123265
FBtr0080900	0.151549	6.62E-05	0.278412	0.000106636	5.19783	0.00209747	2.52362	0.00076601	5.8661	0.00171398	0.451809	0.000121394	5.38419	0.00158101	0.00321849	7.93E-07	49.3308	0.0119237
FBtr0080897	1198.86	0.523706	3352.8	1.28417	2793.25	1.12715	535.375	0.162505	1715.3	0.501185	1348.17	0.362233	1.09033	0.000320164	855.094	0.210778	476.078	0.115072
FBtr0080903	0.197604	8.63E-05	0.550675	0.000210917	12.1472	0.00490176	28.5106	0.00865397	29.3786	0.00858397	0.936946	0.000251743	35.2823	0.0103603	0.134808	3.32E-05	75.8327	0.0183294
FBtr0346712	0	0	3.16E-07	1.18E-10	0	0	0	0	0	0	0	0	0	0	1.52E-07	3.65E-11	0	0
FBtr0080898	17.1838	0.00750652	24.2151	0.00927475	86.593	0.0349427	398.492	0.120956	173.143	0.0505898	81.2254	0.021824	52.2481	0.0153421	425.448	0.104871	91.7687	0.0221812
FBtr0080902	6.11912	0.00267306	11.7139	0.00448659	63.6683	0.025692	1.15027	0.000349147	29.3786	0.00858397	5.51241	0.0014811	35.2823	0.0103603	0.005564	1.37E-06	235.493	0.0569207
FBtr0080901	0.151549	6.62E-05	0.278412	0.000106636	5.19783	0.00209747	0.10121	3.07E-05	5.8661	0.00171398	0.451809	0.000121394	5.38419	0.00158101	0.000131594	3.24E-08	49.3308	0.0119237
FBtr0307494	0	0	3.16E-07	1.18E-10	0	0	0	0	0	0	0	0	0	0	1.52E-07	3.65E-11	0	0
FBtr0307492	0	0	0	0	0	0	0	0	0	0	38.0515	0.0100044	0	0	0	0	41.3601	0.00978244
FBtr0080905	173.633	0.0703897	0.168476	5.99E-05	0.566438	0.000212121	0.159496	4.49E-05	8.15983	0.00221256	0.039863	9.94E-06	3.88562	0.00105884	0.385218	8.81E-05	0.285166	6.40E-05
FBtr0080906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080895	525.919	0.229741	509.881	0.195292	452.742	0.182694	16.1969	0.00491633	173.143	0.0505898	474.9	0.127598	52.2481	0.0153421	17.9226	0.00441786	284.915	0.0688663
FBtr0301829	0	0	0	0	0	0	4.44E-06	1.33E-09	0	0	0	0	5.15E-08	1.50E-11	0	0	0	0
FBtr0301827	0	0	0	0	0	0	0	0	0	0	0	0	2.56E-07	7.43E-11	0	0	0	0
FBtr0307496	0	0	0	0	0	0	0	0	0	0	8.32695	0.00216248	0	0	0	0	0	0
FBtr0301828	0	0	0	0	35.477	0.0139664	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0080899	684.406	0.298974	1003.14	0.384217	1054.81	0.425646	182.443	0.0553779	863.377	0.252265	980.843	0.263538	340.027	0.099845	730.993	0.180187	437.909	0.105846
FBtr0307493	17.1838	0.00750652	24.2151	0.00927475	86.593	0.0349427	16.1969	0.00491633	173.143	0.0505898	81.2254	0.021824	52.2481	0.0153421	17.9226	0.00441786	91.7687	0.0221812
FBtr0307495	0.10306	4.54E-05	49.1254	0.0189623	479.858	0.195144	1.90557	0.000582912	477.177	0.140509	455.861	0.123436	202.049	0.0597913	142.247	0.0353364	737.143	0.179561
FBtr0334145	3.83251	0.0139272	1.89786	0.00604701	13.2073	0.0443349	3.83251	0.00967725	0	0	0	0	0	0	1.90306	0.00390231	0	0
FBtr0334144	147.167	1.11848	189.102	1.26011	175.793	1.23416	87.1675	0.46032	80	0.40667	75	0.35059	103	0.526194	132.097	0.566499	110	0.462572
